id,last_name,marital_status,gender,annual_income, industry ,zip_code,age_at_issue,member_type,add_members,annual_fee,payment_type,status,start_month,start_day,start_year,end_month,end_day,end_year
A01942,Francis,Married,M,103415.00,Materials,80202,43,Gold,2,9000.00,ANNUAL,CANCELLED,7,31,2009,9,26,2010
A04038,Lucas,Married,M,91985.00,Financials,80202,75,Bronze,1,5000.00,ANNUAL,CANCELLED,6,11,2010,8,10,2011
A05752,Fletcher,Married,M,87771.00,Real Estate,80202,52,Bronze,3,5000.00,SEMI-ANNUAL,CANCELLED,5,12,2011,12,10,2011
A03641,Watson,Married,M,71171.00,Energy,80202,46,Silver,3,7000.00,ANNUAL,CANCELLED,4,9,2010,6,6,2011
A03557,Atkins,Married,M,52181.00,Utilities,80202,50,Platinum,3,15000.00,ANNUAL,CANCELLED,4,9,2010,6,8,2011
A07225,Dennis,Married,M,119512.00,Industrials,80202,41,Gold,3,9000.00,ANNUAL,CANCELLED,7,26,2012,9,24,2013
A09300,Clarke,Married,M,73380.00,Consumer Discretionary,80202,41,Gold,3,9000.00,QUARTERLY,CANCELLED,7,22,2013,11,20,2013
A05678,Wise,Married,M,47413.00,Financials,80202,24,Gold,3,9000.00,SEMI-ANNUAL,CANCELLED,3,31,2011,11,27,2011
A03673,Campbell,Single,M,56905.00,Telecommunication Services,80202,27,Silver,0,7000.00,ANNUAL,CANCELLED,3,31,2010,5,27,2012
A03628,Powers,Married,M,71055.00,Materials,80202,56,Platinum,3,15000.00,ANNUAL,CANCELLED,3,31,2010,5,27,2012
A03478,Bailey,Married,M,80807.00,Consumer Staples,80202,70,Silver,3,7000.00,ANNUAL,CANCELLED,3,29,2010,5,25,2012
A03918,French,Married,M,85926.00,Utilities,80202,49,Gold,1,9000.00,MONTHLY,CANCELLED,5,26,2010,9,24,2010
A03148,Allison,Married,M,35036.00,Financials,80202,29,Gold,1,9000.00,ANNUAL,CANCELLED,3,4,2010,5,3,2012
A00465,French,Married,M,86012.00,Unclassified,80202,40,Gold,3,9000.00,ANNUAL,CANCELLED,4,30,2008,6,27,2009
A01623,Schwartz,Married,M,53338.00,Telecommunication Services,80202,58,Silver,3,7000.00,MONTHLY,CANCELLED,4,15,2009,10,14,2009
A02998,Owens,Married,M,94974.00,Information Technology,80202,38,Platinum,1,15000.00,ANNUAL,CANCELLED,2,18,2010,4,19,2012
A02655,Brooks,Married,F,103149.00,Energy,80202,49,Bronze,1,5000.00,ANNUAL,CANCELLED,1,12,2010,3,13,2012
A08262,Hanson,Married,M,35542.00,Industrials,80202,33,Silver,2,7000.00,SEMI-ANNUAL,CANCELLED,3,31,2013,10,28,2013
A05155,Roberson,Married,M,49827.00,Consumer Discretionary,80203,40,Platinum,1,15000.00,SEMI-ANNUAL,CANCELLED,12,31,2010,8,27,2012
A02550,Howard,Married,M,109236.00,Health Care,80203,41,Platinum,3,15000.00,QUARTERLY,CANCELLED,12,31,2009,8,27,2012
A02465,Morris,Married,M,38977.00,Industrials,80203,49,Bronze,3,5000.00,ANNUAL,CANCELLED,12,30,2009,2,26,2012
A05132,Curry,Married,M,53520.00,Utilities,80203,39,Gold,2,9000.00,SEMI-ANNUAL,CANCELLED,12,28,2010,8,27,2012
A01531,Fletcher,Married,F,98629.00,Materials,80202,40,Silver,2,7000.00,QUARTERLY,CANCELLED,3,31,2009,8,27,2009
A06607,Long,Single,M,66692.00,Financials,80202,25,Silver,0,7000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A06901,Hawkins,Married,M,97255.00,Materials,80202,40,Gold,2,9000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A06894,McKinney,Married,F,48345.00,Utilities,80202,42,Gold,2,9000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A06850,Brown,Married,M,37714.00,Unclassified,80202,47,Silver,3,7000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A00081,Hopkins,Married,F,70198.00,Real Estate,80203,56,Platinum,2,15000.00,ANNUAL,CANCELLED,12,17,2007,2,15,2012
A05044,Burgess,Married,M,46637.00,Energy,80203,36,Silver,2,7000.00,ANNUAL,CANCELLED,11,30,2010,12,28,2012
A08521,Harper,Married,M,66854.00,Consumer Discretionary,80202,50,Gold,1,9000.00,MONTHLY,CANCELLED,3,28,2013,8,27,2013
A05567,Clayton,Married,M,103127.00,Financials,80202,55,Gold,3,9000.00,ANNUAL,CANCELLED,3,28,2011,5,26,2013
A00347,Ward,Married,M,68366.00,Unclassified,80202,28,Silver,1,7000.00,QUARTERLY,CANCELLED,3,26,2008,2,24,2009
A00335,Hardy,Single,F,86114.00,Unclassified,80202,29,Silver,0,7000.00,MONTHLY,CANCELLED,3,24,2008,7,20,2008
A06630,Ramsey,Single,M,91736.00,Telecommunication Services,80202,28,Platinum,0,15000.00,ANNUAL,CANCELLED,3,22,2012,5,21,2013
A03278,Hayes,Married,M,65789.00,Information Technology,80202,39,Platinum,2,15000.00,MONTHLY,CANCELLED,3,22,2010,7,19,2010
A04920,Vaughn,Married,M,48027.00,Consumer Discretionary,80203,48,Bronze,2,5000.00,ANNUAL,CANCELLED,10,26,2010,11,25,2012
A01377,Hale,Married,M,71234.00,Energy,80202,37,Silver,1,7000.00,SEMI-ANNUAL,CANCELLED,3,9,2009,4,8,2010
A04866,Stanley,Married,F,106102.00,Materials,80203,52,Silver,3,7000.00,ANNUAL,CANCELLED,10,13,2010,11,12,2012
A04722,Bryant,Married,M,38270.00,Utilities,80203,30,Bronze,3,5000.00,ANNUAL,CANCELLED,8,31,2010,10,27,2012
A08154,Sparks,Single,M,68336.00,Energy,80202,30,Platinum,0,15000.00,SEMI-ANNUAL,CANCELLED,2,27,2013,10,26,2013
A01297,Davidson,Married,F,54184.00,Telecommunication Services,80202,35,Platinum,2,15000.00,SEMI-ANNUAL,CANCELLED,2,27,2009,10,27,2009
A00619,Medina,Married,F,98430.00,Financials,80203,40,Bronze,3,5000.00,SEMI-ANNUAL,CANCELLED,7,25,2008,9,23,2012
A01296,Hale,Married,M,106320.00,Utilities,80202,34,Gold,3,9000.00,SEMI-ANNUAL,CANCELLED,2,16,2009,10,15,2009
A05307,Richards,Married,M,57024.00,Consumer Discretionary,80202,34,Gold,3,9000.00,ANNUAL,CANCELLED,2,10,2011,4,11,2013
A01282,Morton,Single,M,77813.00,Energy,80202,63,Silver,0,7000.00,SEMI-ANNUAL,CANCELLED,2,9,2009,10,8,2010
A04220,Bates,Married,M,92548.00,Industrials,80203,37,Gold,2,9000.00,ANNUAL,CANCELLED,7,15,2010,9,13,2012
A06240,Clayton,Married,M,51731.00,Telecommunication Services,80202,29,Gold,3,9000.00,MONTHLY,CANCELLED,1,18,2012,8,17,2013
A04189,Garcia,Married,M,112439.00,Telecommunication Services,80203,42,Platinum,3,15000.00,ANNUAL,CANCELLED,7,7,2010,9,5,2012
A04192,Graves,Married,M,45686.00,Consumer Discretionary,80203,49,Silver,2,7000.00,ANNUAL,CANCELLED,7,7,2010,9,5,2011
A01839,Weaver,Married,F,46154.00,Health Care,80203,38,Bronze,3,5000.00,ANNUAL,CANCELLED,7,3,2009,9,1,2011
A01175,McCoy,Single,M,114469.00,Industrials,80203,25,Platinum,0,15000.00,MONTHLY,CANCELLED,12,31,2008,4,29,2009
A01082,Salazar,Married,M,83725.00,Financials,80203,35,Bronze,1,5000.00,SEMI-ANNUAL,CANCELLED,12,31,2008,8,27,2009
A00491,Weaver,Married,M,56278.00,Consumer Discretionary,80203,41,Bronze,3,5000.00,ANNUAL,CANCELLED,5,14,2008,7,13,2011
A01148,Walters,Married,M,74622.00,Real Estate,80203,38,Bronze,1,5000.00,SEMI-ANNUAL,CANCELLED,12,30,2008,8,27,2009
A01118,Elliott,Single,M,56972.00,Materials,80203,28,Silver,0,7000.00,MONTHLY,CANCELLED,12,29,2008,4,29,2009
A05724,Nichols,Married,M,100764.00,Energy,80203,54,Platinum,1,15000.00,SEMI-ANNUAL,CANCELLED,4,25,2011,12,24,2011
A03603,Hudson,Married,M,82231.00,Materials,80203,45,Gold,2,9000.00,ANNUAL,CANCELLED,3,31,2010,5,27,2011
A01057,Young,Married,M,68766.00,Telecommunication Services,80203,40,Bronze,2,5000.00,MONTHLY,CANCELLED,12,22,2008,4,21,2009
A05590,Malone,Married,M,101314.00,Financials,80203,36,Platinum,1,15000.00,QUARTERLY,CANCELLED,3,25,2011,7,25,2011
A03364,McCoy,Married,M,109895.00,Consumer Discretionary,80203,27,Bronze,3,5000.00,ANNUAL,CANCELLED,3,23,2010,5,22,2011
A01037,King,Married,F,89724.00,Consumer Discretionary,80203,23,Bronze,3,5000.00,MONTHLY,CANCELLED,12,10,2008,4,11,2009
A02437,Terry,Married,M,44438.00,Consumer Discretionary,80203,61,Platinum,3,15000.00,SEMI-ANNUAL,CANCELLED,12,9,2009,8,8,2010
A05042,Hayes,Married,M,59544.00,Consumer Staples,80203,46,Platinum,1,15000.00,ANNUAL,CANCELLED,12,3,2010,1,2,2013
A03383,Jimenez,Married,M,116286.00,Energy,80203,35,Gold,2,9000.00,ANNUAL,CANCELLED,3,23,2010,5,22,2011
A03193,Rowe,Married,M,74648.00,Information Technology,80203,40,Bronze,2,5000.00,ANNUAL,CANCELLED,3,15,2010,5,12,2011
A00876,Marsh,Married,M,88327.00,Consumer Staples,80203,46,Bronze,1,5000.00,SEMI-ANNUAL,CANCELLED,10,31,2008,6,27,2009
A03202,Riley,Married,M,113830.00,Utilities,80203,54,Silver,3,7000.00,ANNUAL,CANCELLED,3,9,2010,5,8,2011
A02989,Hamilton,Married,M,70475.00,Real Estate,80203,34,Platinum,1,15000.00,ANNUAL,CANCELLED,2,17,2010,4,18,2011
A05363,Carson,Married,M,59864.00,Materials,80203,40,Platinum,3,15000.00,SEMI-ANNUAL,CANCELLED,2,10,2011,9,7,2011
A02677,Hernandez,Married,M,50770.00,Consumer Discretionary,80203,44,Platinum,3,15000.00,ANNUAL,CANCELLED,1,18,2010,3,19,2011
A02008,McKinney,Married,M,76616.00,Real Estate,80203,46,Gold,1,9000.00,ANNUAL,CANCELLED,9,24,2009,11,23,2010
A00770,Caldwell,Single,M,91904.00,Utilities,80203,24,Gold,0,9000.00,SEMI-ANNUAL,CANCELLED,9,22,2008,5,21,2009
A02654,Parker,Married,F,87774.00,Utilities,80203,35,Bronze,3,5000.00,ANNUAL,CANCELLED,1,12,2010,3,13,2011
A02067,Sparks,Single,M,51114.00,Financials,80203,27,Gold,0,9000.00,ANNUAL,CANCELLED,9,10,2009,11,9,2010
A02501,Neal,Married,F,92544.00,Real Estate,80203,51,Silver,1,7000.00,ANNUAL,CANCELLED,1,6,2010,3,7,2011
A02026,Burgess,Married,M,75213.00,Consumer Staples,80203,45,Bronze,2,5000.00,MONTHLY,CANCELLED,8,31,2009,12,27,2009
A00704,Wright,Married,M,84772.00,Consumer Staples,80203,52,Silver,3,7000.00,SEMI-ANNUAL,CANCELLED,8,27,2008,4,28,2009
A00678,Haynes,Widowed,F,52000.00,Financials,80203,57,Silver,0,7000.00,MONTHLY,CANCELLED,8,27,2008,12,26,2008
A02673,Ortiz,Married,M,59031.00,Materials,80204,22,Gold,3,9000.00,ANNUAL,CANCELLED,12,31,2009,2,26,2011
A00665,Davidson,Married,M,81364.00,Financials,80203,29,Bronze,1,5000.00,MONTHLY,CANCELLED,8,14,2008,12,13,2008
A01951,Powers,Married,M,109914.00,Energy,80203,37,Bronze,1,5000.00,ANNUAL,CANCELLED,8,10,2009,10,9,2010
A02385,Cox,Married,M,88621.00,Financials,80204,49,Gold,3,9000.00,ANNUAL,CANCELLED,11,30,2009,1,27,2011
A02314,Gutierrez,Married,M,78771.00,Financials,80204,36,Bronze,2,5000.00,SEMI-ANNUAL,CANCELLED,11,12,2009,1,11,2011
A01841,Day,Married,M,77869.00,Health Care,80203,43,Platinum,2,15000.00,QUARTERLY,CANCELLED,7,9,2009,12,8,2009
A02129,Malone,Married,M,103370.00,Materials,80204,62,Platinum,3,15000.00,ANNUAL,CANCELLED,9,30,2009,11,27,2011
A04858,Summers,Married,F,85120.00,Telecommunication Services,80204,45,Bronze,2,5000.00,SEMI-ANNUAL,CANCELLED,9,13,2010,5,12,2011
A04833,Jones,Married,M,108470.00,Materials,80204,47,Gold,3,9000.00,MONTHLY,CANCELLED,9,8,2010,1,7,2011
A05816,Summers,Married,M,88113.00,Health Care,80203,42,Platinum,3,15000.00,MONTHLY,CANCELLED,6,30,2011,1,27,2013
A04631,Lee,Married,M,46150.00,Health Care,80204,48,Bronze,2,5000.00,QUARTERLY,CANCELLED,9,7,2010,1,27,2011
A00562,McGee,Single,M,50552.00,Consumer Staples,80203,26,Bronze,0,5000.00,ANNUAL,CANCELLED,6,30,2008,8,27,2009
A00539,Black,Married,M,73165.00,Utilities,80203,46,Silver,3,7000.00,SEMI-ANNUAL,CANCELLED,6,30,2008,2,26,2009
A07066,Huff,Married,M,60509.00,Information Technology,80203,42,Gold,2,9000.00,ANNUAL,CANCELLED,6,22,2012,8,21,2013
A04724,Moran,Married,F,112523.00,Consumer Staples,80204,28,Silver,1,7000.00,ANNUAL,CANCELLED,8,31,2010,10,27,2011
A04045,Stephens,Married,M,36738.00,Consumer Discretionary,80203,39,Gold,3,9000.00,MONTHLY,CANCELLED,6,11,2010,10,10,2010
A00508,Saunders,Single,M,111616.00,Industrials,80203,27,Silver,0,7000.00,MONTHLY,CANCELLED,5,30,2008,5,27,2009
A03968,Waters,Married,M,101643.00,Utilities,80203,45,Bronze,3,5000.00,MONTHLY,CANCELLED,5,28,2010,9,26,2010
A01695,Blake,Single,M,55708.00,Consumer Discretionary,80203,40,Platinum,0,15000.00,ANNUAL,CANCELLED,5,22,2009,7,21,2010
A07002,Taylor,Married,M,63785.00,Utilities,80203,36,Gold,3,9000.00,ANNUAL,CANCELLED,5,14,2012,6,11,2013
A04720,Atkins,Married,M,51633.00,Energy,80204,42,Gold,3,9000.00,ANNUAL,CANCELLED,8,31,2010,10,27,2011
A00466,McLaughlin,Married,M,76668.00,Industrials,80203,36,Platinum,2,15000.00,MONTHLY,CANCELLED,4,29,2008,8,27,2008
A04388,Kelley,Married,M,59499.00,Financials,80204,51,Bronze,2,5000.00,ANNUAL,CANCELLED,8,13,2010,10,11,2011
A01621,Reid,Married,M,66321.00,Consumer Staples,80203,47,Bronze,3,5000.00,QUARTERLY,CANCELLED,4,15,2009,9,9,2009
A05662,Cortez,Divorced,F,68194.00,Materials,80203,37,Silver,0,7000.00,ANNUAL,CANCELLED,4,13,2011,5,27,2013
A04337,Dunn,Married,F,81213.00,Utilities,80204,40,Gold,2,9000.00,ANNUAL,CANCELLED,7,30,2010,9,26,2011
A05700,Rios,Married,M,97201.00,Consumer Discretionary,80203,47,Gold,1,9000.00,SEMI-ANNUAL,CANCELLED,3,31,2011,10,28,2013
A05651,Duncan,Married,M,117353.00,Industrials,80203,58,Gold,2,9000.00,ANNUAL,CANCELLED,3,31,2011,5,27,2013
A04327,Greene,Married,M,109711.00,Energy,80204,45,Silver,3,7000.00,ANNUAL,CANCELLED,7,30,2010,9,26,2011
A00350,Green,Married,M,52307.00,Utilities,80203,33,Bronze,1,5000.00,MONTHLY,CANCELLED,3,31,2008,7,27,2008
A06639,Abbott,Single,M,45076.00,Real Estate,80203,22,Gold,0,9000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A06819,Wilson,Married,F,93840.00,Industrials,80203,43,Silver,2,7000.00,ANNUAL,CANCELLED,3,30,2012,5,27,2013
A06754,Vasquez,Married,M,111813.00,Energy,80203,69,Gold,1,9000.00,ANNUAL,CANCELLED,3,27,2012,5,26,2013
A01494,Blair,Married,M,94936.00,Unclassified,80203,35,Bronze,2,5000.00,ANNUAL,CANCELLED,3,26,2009,5,25,2010
A08424,Harris,Married,M,116743.00,Energy,80203,39,Platinum,2,15000.00,SEMI-ANNUAL,CANCELLED,3,25,2013,10,25,2013
A04319,Bates,Married,F,58625.00,Health Care,80204,75,Gold,1,9000.00,ANNUAL,CANCELLED,7,30,2010,9,26,2011
A00598,Shaw,Married,M,99483.00,Consumer Discretionary,80204,46,Silver,1,7000.00,ANNUAL,CANCELLED,7,14,2008,9,10,2011
A03657,Hudson,Married,M,119277.00,Health Care,80204,51,Platinum,3,15000.00,ANNUAL,CANCELLED,4,16,2010,6,15,2011
A03504,Murray,Married,M,57314.00,Health Care,80204,40,Gold,3,9000.00,ANNUAL,CANCELLED,3,29,2010,5,27,2011
A06707,Padilla,Single,M,99409.00,Consumer Staples,80203,19,Bronze,0,5000.00,ANNUAL,CANCELLED,3,20,2012,5,19,2013
A06620,Daniels,Single,M,76374.00,Real Estate,80203,30,Silver,0,7000.00,ANNUAL,CANCELLED,3,16,2012,5,15,2013
A06608,Parsons,Married,M,114924.00,Energy,80203,43,Silver,2,7000.00,ANNUAL,CANCELLED,3,16,2012,5,15,2013
A01314,Waters,Married,M,66226.00,Telecommunication Services,80203,51,Bronze,1,5000.00,ANNUAL,CANCELLED,3,16,2009,5,15,2010
A01415,Sparks,Married,M,50056.00,Health Care,80203,55,Bronze,2,5000.00,SEMI-ANNUAL,CANCELLED,3,16,2009,11,13,2009
A03304,Hill,Married,M,86563.00,Consumer Discretionary,80204,34,Gold,1,9000.00,ANNUAL,CANCELLED,3,23,2010,5,22,2011
A03296,Olson,Married,M,113836.00,Utilities,80204,55,Platinum,1,15000.00,ANNUAL,CANCELLED,3,18,2010,5,17,2011
A03191,Hawkins,Single,M,101014.00,Information Technology,80204,24,Gold,0,9000.00,MONTHLY,CANCELLED,3,9,2010,6,8,2011
A06421,Herrera,Married,M,61978.00,Real Estate,80203,33,Platinum,1,15000.00,ANNUAL,CANCELLED,2,17,2012,4,18,2013
A06353,Martin,Married,M,61498.00,Unclassified,80203,50,Platinum,1,15000.00,ANNUAL,CANCELLED,2,17,2012,4,18,2013
A03175,Evans,Married,M,111995.00,Telecommunication Services,80204,39,Platinum,1,15000.00,ANNUAL,CANCELLED,3,5,2010,5,4,2011
A03089,Nash,Married,F,44825.00,Information Technology,80204,33,Silver,1,7000.00,ANNUAL,CANCELLED,2,26,2010,4,27,2011
A03053,Coleman,Married,M,83776.00,Materials,80204,50,Bronze,3,5000.00,ANNUAL,CANCELLED,2,26,2010,4,27,2011
A08012,Stephens,Married,M,41374.00,Real Estate,80203,44,Bronze,2,5000.00,SEMI-ANNUAL,CANCELLED,1,30,2013,9,26,2013
A05398,Campbell,Married,M,74688.00,Energy,80204,37,Platinum,3,15000.00,SEMI-ANNUAL,CANCELLED,2,25,2011,10,24,2011
A03079,Paul,Single,F,57826.00,Information Technology,80204,78,Platinum,0,15000.00,ANNUAL,CANCELLED,2,25,2010,4,26,2011
A00158,Brown,Single,M,48617.00,Utilities,80203,49,Silver,0,7000.00,ANNUAL,CANCELLED,1,22,2008,3,23,2010
A05277,Barnes,Married,M,42808.00,Consumer Staples,80204,60,Bronze,3,5000.00,SEMI-ANNUAL,CANCELLED,2,18,2011,9,17,2011
A02776,Norton,Married,M,72031.00,Real Estate,80204,53,Silver,3,7000.00,ANNUAL,CANCELLED,1,22,2010,3,23,2011
A06256,Lambert,Married,M,67326.00,Health Care,80203,50,Silver,2,7000.00,MONTHLY,CANCELLED,1,12,2012,7,11,2013
A05173,Cross,Married,M,110266.00,Energy,80205,36,Platinum,2,15000.00,SEMI-ANNUAL,CANCELLED,12,29,2010,7,28,2011
A04929,Figueroa,Married,M,113848.00,Financials,80205,53,Bronze,3,5000.00,ANNUAL,CANCELLED,10,27,2010,11,26,2011
A01186,Hernandez,Single,M,55416.00,Real Estate,80203,33,Silver,0,7000.00,MONTHLY,CANCELLED,1,7,2009,5,6,2009
A02183,Walton,Married,M,47085.00,Real Estate,80205,39,Gold,3,9000.00,ANNUAL,CANCELLED,10,7,2009,12,6,2011
A04797,Barnes,Single,M,114269.00,Real Estate,80205,50,Platinum,0,15000.00,ANNUAL,CANCELLED,8,31,2010,10,27,2011
A04528,Peterson,Married,M,44698.00,Information Technology,80205,50,Platinum,2,15000.00,ANNUAL,CANCELLED,8,27,2010,10,25,2011
A04428,Alvarado,Married,F,82686.00,Real Estate,80205,38,Gold,1,9000.00,ANNUAL,CANCELLED,8,20,2010,10,19,2011
A04415,Roy,Single,M,80779.00,Real Estate,80205,19,Silver,0,7000.00,ANNUAL,CANCELLED,8,17,2010,10,16,2011
A01026,Wells,Married,M,110745.00,Consumer Staples,80204,53,Bronze,2,5000.00,ANNUAL,CANCELLED,12,15,2008,2,11,2010
A07649,McGuire,Married,M,104615.00,Utilities,80204,56,Gold,2,9000.00,MONTHLY,CANCELLED,12,11,2012,10,26,2013
A01035,Bryan,Married,M,115094.00,Industrials,80204,36,Silver,2,7000.00,MONTHLY,CANCELLED,12,10,2008,3,10,2010
A06160,Wilson,Married,F,86480.00,Real Estate,80204,25,Gold,1,9000.00,SEMI-ANNUAL,CANCELLED,12,8,2011,2,6,2013
A06139,Goodman,Married,M,56365.00,Financials,80204,37,Platinum,1,15000.00,ANNUAL,CANCELLED,11,30,2011,1,27,2013
A04282,Parsons,Married,M,78849.00,Telecommunication Services,80205,36,Bronze,1,5000.00,ANNUAL,CANCELLED,7,30,2010,9,26,2011
A04260,Chapman,Married,M,69904.00,Information Technology,80205,46,Silver,3,7000.00,ANNUAL,CANCELLED,7,26,2010,9,22,2011
A00623,Jordan,Single,M,93528.00,Unclassified,80205,22,Platinum,0,15000.00,SEMI-ANNUAL,CANCELLED,7,25,2008,9,23,2011
A00947,Morrison,Married,M,101625.00,Utilities,80204,37,Silver,1,7000.00,ANNUAL,CANCELLED,11,11,2008,1,10,2010
A07499,Collier,Married,M,63362.00,Materials,80204,46,Silver,3,7000.00,SEMI-ANNUAL,CANCELLED,10,31,2012,5,28,2013
A04145,Underwood,Married,F,99469.00,Information Technology,80205,47,Silver,1,7000.00,ANNUAL,CANCELLED,7,2,2010,8,27,2011
A04074,Davidson,Married,M,118490.00,Real Estate,80205,45,Gold,3,9000.00,SEMI-ANNUAL,CANCELLED,6,18,2010,2,16,2011
A00850,Mathis,Single,M,101259.00,Utilities,80204,26,Bronze,0,5000.00,MONTHLY,CANCELLED,10,6,2008,2,4,2009
A04031,Warner,Married,M,93031.00,Unclassified,80205,47,Gold,3,9000.00,ANNUAL,CANCELLED,6,16,2010,8,7,2011
A04036,Lawrence,Married,M,65016.00,Consumer Staples,80205,54,Platinum,2,15000.00,ANNUAL,CANCELLED,6,14,2010,8,8,2011
A02110,Clayton,Single,M,80262.00,Consumer Discretionary,80204,30,Silver,0,7000.00,QUARTERLY,CANCELLED,9,24,2009,2,22,2010
A01722,Clarke,Single,F,82466.00,Industrials,80205,18,Gold,0,9000.00,MONTHLY,CANCELLED,5,29,2009,9,26,2011
A00393,Gray,Married,M,103901.00,Utilities,80205,30,Bronze,1,5000.00,ANNUAL,CANCELLED,5,8,2008,7,7,2011
A01667,Weber,Married,M,62022.00,Industrials,80205,41,Platinum,1,15000.00,ANNUAL,CANCELLED,5,5,2009,7,4,2011
A03666,Sparks,Married,M,91315.00,Consumer Staples,80205,50,Gold,1,9000.00,ANNUAL,CANCELLED,4,13,2010,6,12,2011
A07340,Rodgers,Married,F,65894.00,Consumer Discretionary,80204,40,Bronze,1,5000.00,SEMI-ANNUAL,CANCELLED,8,31,2012,3,30,2013
A03418,Terry,Married,M,96288.00,Consumer Discretionary,80205,39,Gold,2,9000.00,ANNUAL,CANCELLED,4,9,2010,6,6,2011
A05653,Nash,Married,M,93540.00,Energy,80205,37,Bronze,1,5000.00,MONTHLY,CANCELLED,3,31,2011,8,27,2011
A03678,Rowe,Married,M,105396.00,Telecommunication Services,80205,26,Gold,3,9000.00,ANNUAL,CANCELLED,3,31,2010,5,27,2011
A00733,Brown,Married,M,70681.00,Consumer Discretionary,80204,40,Gold,3,9000.00,MONTHLY,CANCELLED,8,29,2008,12,27,2008
A00694,Wood,Married,M,59544.00,Industrials,80204,46,Platinum,2,15000.00,MONTHLY,CANCELLED,8,29,2008,1,27,2010
A00717,Yates,Single,M,101911.00,Energy,80204,18,Silver,0,7000.00,MONTHLY,CANCELLED,8,28,2008,12,27,2008
A00662,Hunt,Married,M,44889.00,Health Care,80204,29,Gold,1,9000.00,MONTHLY,CANCELLED,8,14,2008,2,12,2009
A05540,Bowers,Married,F,52112.00,Industrials,80205,34,Silver,1,7000.00,SEMI-ANNUAL,CANCELLED,3,22,2011,11,21,2011
